,tactic_id,impression_pixel_json,StatusCodes,Status
95,334606,https://ad.doubleclick.net/ddm/trackimp/N2724.1852769TRIPLELIFT.COM/B9457112.128485018;dc_trk_aid=301461582;dc_trk_cid=66292004;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?,failed to connect,Failed
98,334593,https://bs.serving-sys.com/BurstingPipe/adServer.bs?cn=tf&c=19&mc=imp&pli=16623648&PluID=0&ord=[timestamp]&rtu=-1,failed to connect,Failed
100,335567,https://ad.doubleclick.net/ddm/ad/N9515.1264338TRIPLELIFTINC2/B8453948.128925484;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?,failed to connect,Failed
101,323676,"http://ohlone.vizu.com/a.gif?vzcid=22747&vzadid=nativeunit&vzsid=triplelift&vzwc=none&ord=[RANDOM]"",""http://bs.serving-sys.com/BurstingPipe/adServer.bs?cn=tf&c=19&mc=imp&pli=13706723&PluID=0&ord=[timestamp]&rtu=-1",failed to connect,Failed
103,336396,https://ad.doubleclick.net/ddm/ad/N69702.279382DBMACCUEN398918777-/B9355888.128352167;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?,failed to connect,Failed
104,337890,https://ad.doubleclick.net/ddm/ad/N6049.1355588.DOUBLECLICK.COMBID/B9607545.130418178;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?,failed to connect,Failed
105,329337,"https://tag.researchnow.com/t/beacon?pr=7721&ca=9088505&pl=124414329&cr=&si=Triplelift&adn=3&tt=3&a=1"",""https://match.rundsp.com/witness/impression.gif?p=94274&a=65568",failed to connect,Failed
106,330021,https://ad.doubleclick.net/ddm/ad/N6733.291508.ACCUENMEDIA.COM/B9097427.123495782;sz=1x1;ord=[timestamp]?,failed to connect,Failed
107,329250,"https://bs.serving-sys.com/BurstingPipe/adServer.bs?cn=tf&c=19&mc=imp&pli=15305156&PluID=0&ord=[timestamp]&rtu=-1"",""http://tags.bluekai.com/site/29697?limit=1",failed to connect,Failed
108,335537,https://bs.serving-sys.com/BurstingPipe/adServer.bs?cn=tf&c=19&mc=imp&pli=16420929&PluID=0&ord=[timestamp]&rtu=-1,failed to connect,Failed
110,339051,https://t.mookie1.com/t/v1/imp?migAgencyId=616&migSource=adsrv2&migRandom=[timestamp]&migTrackDataExt=3523435;130409495;303707848;0&migTrackFmtExt=client;io;ad;crtv&migUnencodedDest=https://ad.doubleclick.net/ddm/ad/N4406.1308838.XAXIS.COM/B9574157.130409495;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?,failed to connect,Failed
111,336394,"https://ad.doubleclick.net/ddm/trackimp/N6036.1264338TRIPLELIFTINC/B9331301.129111520;dc_trk_aid=302397813;dc_trk_cid=69388968;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?"",""http://tags.bluekai.com/site/33374?limit=1",failed to connect,Failed
112,337692,https://t.mookie1.com/t/v1/imp?migAgencyId=1127&migSource=adsrv2&migRandom=${CACHEBUSTER}&migTrackDataExt=3573732;127460058;300431541;0&migTrackFmtExt=client;io;ad;crtv&migUnencodedDest=https://ad.doubleclick.net/ddm/ad/N7451.456584WPPXAXISLLC/B9368171.127460058;sz=1x1;ord=${CACHEBUSTER};dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?,failed to connect,Failed
