,tactic_id,impression_pixel_json,StatusCodes,Status
142,331743,https://ad.doubleclick.net/ddm/ad/N149404.2079317MEDIAMATHPROGRAMM/B9246245.126225420;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?,200,OK
143,339732,https://ad.doubleclick.net/ddm/ad/N7088.284566THETRADEDESK/B9516497.129471532;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?,200,OK
146,335574,https://ad.doubleclick.net/ddm/trackimp/N4694.IPN346/B8482945.129321283;dc_trk_aid=302262980;dc_trk_cid=69294732;ord=[timestamp]?,200,OK
148,316617,https://ad.doubleclick.net/ddm/ad/N2949.1264338.TRIPLELIFTINC/B8719817.118168818;sz=1x1;ord=[timestamp]?,200,OK
151,329190,https://ad.doubleclick.net/ddm/ad/N950.131803TURNINC./B9128285.124173809;sz=1x1;ord=[timestamp]?,200,OK
152,326977,https://ad.doubleclick.net/ddm/ad/N5667.1355588DOUBLECLICK.COMBIDM/B8431823.122509839;sz=1x1;ord=[timestamp]?,200,OK
154,334043,https://ad.doubleclick.net/ddm/ad/N9515.1264338TRIPLELIFTINC2/B8454149.121761721;sz=1x1;ord=[timestamp]?,200,OK
161,325509,https://ad.doubleclick.net/ddm/ad/N8893.1264338TRIPLELIFTINC/B8660875.121208186;sz=1x1;ord=[timestamp]?,200,OK
162,336923,"https://718-img.c3tag.com/v.gif?c3ch=Display&c3nid=MF_RT_native"",""http://amp.mediaforge.com/link/sparta4490/5b0e1dfa-ef7f-11e5-9126-e08deee1cf81",200,OK
163,323766,https://ad.doubleclick.net/ddm/trackimp/N5983.1264338TRIPLELIFTINC/B8770009.119270550;dc_trk_aid=292310384;dc_trk_cid=63651202;ord=[timestamp]?,200,OK
165,331929,https://bs.serving-sys.com/BurstingPipe/adServer.bs?cn=tf&c=19&mc=imp&pli=15776204&PluID=0&ord=[timestamp]&rtu=-1&dspu=$$%%TTD_TDID%%$$,200,OK
168,333269,https://ad.doubleclick.net/ddm/ad/N6451.147350.AOD.COM/B9325060.126950032;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?,200,OK
170,329109,https://ad.doubleclick.net/ddm/ad/N5664.132180.GAYADNETWORK/B8945681.121292516;sz=1x1;ord=[timestamp]?,200,OK
172,338849,"https://secure.insightexpressai.com/adServer/adServerESI.aspx?bannerID=752388&script=false&rnd=[INSERT_CACHEBUSTER_HERE]&redir=https://secure.insightexpressai.com/adserver/1pixel.gif"",""http://secure.insightexpressai.com/adServer/adServerESI.aspx?bannerID=753139&siteID=tradedeskdisplay&creativeID=%%TTD_CREATIVEID_INT%%&placementID=%%TTD_ADGROUPID_INT%%",200,OK
173,333551,https://ad.doubleclick.net/ddm/trackimp/N4694.IPN346/B9397367.127821536;dc_trk_aid=300836586;dc_trk_cid=68492460;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?,200,OK
174,337113,http://amp.mediaforge.com/link/polari4993/c76ac1a8-f135-11e5-88e4-13b07c93c565,200,OK
175,329002,https://ad.doubleclick.net/ddm/ad/N5364.152304.OMGTRADINGDESK/B9119892.123759184;sz=1x1;ord=[timestamp]?,200,OK
177,333419,http://bs.serving-sys.com/BurstingPipe/adServer.bs?cn=tf&c=19&mc=imp&pli=16412338&PluID=0&ord=${CACHEBUSTER}&rtu=-1,200,OK
178,331080,https://ad.doubleclick.net/ddm/ad/N5688.2093103DBM1/B8867406.125114011;sz=1x1;ord=[timestamp]?,200,OK
179,320602,http://ad.doubleclick.net/ddm/ad/N2949.1264338.TRIPLELIFTINC/B8719817.118168820;sz=1x1;ord=[timestamp]?,200,OK
